month,crop_category,crop_name,system_type,avg_temp_c,humidity_pct,water_temp_c,vpd_kpa,ph_level,ec_level,dissolved_oxygen,dli_mol_m2_day,is_recommended,risk_factor
Mar,Hydroponic,Celery,DWC,27.0,43.6,30.0,2.01,7.4,2.2,3.5,17.5,0,Root Rot Risk
Aug,Microgreen,Mustard,Tray,33.5,82.3,28.5,0.92,7.4,2.0,4.0,9.8,0,Root Rot Risk
Mar,Hydroponic,Celery,DWC,29.1,47.6,32.1,2.11,7.7,0.7,2.8,16.6,0,Root Rot Risk
Apr,Microgreen,Kohlrabi,Tray,44.2,18.1,39.2,7.53,7.4,2.2,2.0,21.5,0,Root Rot Risk
Feb,Microgreen,Basil (MG),Tray,22.7,40.0,25.7,1.66,7.8,2.5,5.0,14.9,0,Nutrient Lockout
Mar,Microgreen,Amaranth,Tray,29.9,48.7,32.9,2.17,6.3,1.5,2.5,18.2,0,Root Rot Risk
Jul,Microgreen,Cilantro,Tray,28.5,73.2,31.5,1.04,5.9,2.5,3.0,9.9,0,Root Rot Risk
Apr,Microgreen,Sunflower,Tray,38.7,19.3,33.7,5.55,7.5,1.0,2.2,18.8,0,Root Rot Risk
Jul,Microgreen,Beetroot,Tray,32.2,92.4,27.2,0.36,5.3,1.4,4.5,8.7,0,Root Rot Risk
Jan,Hydroponic,Cucumber,DWC,17.6,43.0,20.6,1.15,6.1,0.6,6.8,10.6,1,Optimal
Apr,Hydroponic,Mint,NFT,42.5,27.5,37.5,6.11,7.5,0.9,2.0,20.9,0,Root Rot Risk
Jul,Microgreen,Beetroot,Tray,31.6,80.4,26.6,0.91,6.3,0.9,4.7,12.2,0,Root Rot Risk
Feb,Microgreen,Pea Shoots,Tray,22.2,40.4,25.2,1.59,6.4,2.1,5.2,19.4,1,Optimal
Apr,Microgreen,Kohlrabi,Tray,36.4,19.2,31.4,4.91,6.0,2.5,3.0,22.7,0,Root Rot Risk
Nov,Hydroponic,Cherry Tomato,DWC,8.1,52.1,11.1,0.52,6.2,1.5,10.1,5.5,1,Optimal
Nov,Hydroponic,Kale,NFT,14.5,48.0,17.5,0.86,7.5,2.4,7.9,11.1,0,Nutrient Lockout
Jan,Microgreen,Pea Shoots,Tray,19.1,42.0,22.1,1.28,5.5,1.5,6.3,8.9,1,Optimal
Dec,Hydroponic,Kale,NFT,16.7,50.0,19.7,0.95,7.3,0.6,7.1,9.4,0,Nutrient Lockout
Dec,Hydroponic,Cherry Tomato,NFT,14.6,50.5,17.6,0.82,6.0,1.0,7.8,8.5,1,Optimal
Sep,Hydroponic,Bell Pepper,NFT,29.8,72.3,32.8,1.16,6.6,0.7,2.5,12.1,0,Root Rot Risk
Sep,Hydroponic,Bell Pepper,NFT,32.2,87.5,27.2,0.6,7.7,0.8,4.5,10.5,0,Root Rot Risk
May,Microgreen,Arugula,Tray,40.4,16.7,35.4,6.26,6.6,1.3,2.0,22.5,0,Root Rot Risk
Sep,Hydroponic,Cucumber,DWC,32.5,87.7,27.5,0.6,6.9,1.9,4.4,14.4,0,Root Rot Risk
Oct,Microgreen,Pea Shoots,Tray,24.5,41.0,27.5,1.81,5.3,2.4,4.4,15.4,0,Root Rot Risk
Dec,Hydroponic,Mint,DWC,19.0,40.1,22.0,1.32,6.2,1.3,6.3,10.3,1,Optimal
Jan,Microgreen,Broccoli,Tray,11.1,42.9,14.1,0.75,6.9,1.1,9.1,5.5,1,Optimal
May,Hydroponic,Mint,NFT,38.5,26.9,33.5,4.97,7.8,1.3,2.3,18.4,0,Root Rot Risk
Jan,Microgreen,Mustard,Tray,15.5,51.1,18.5,0.86,5.6,0.6,7.5,6.8,1,Optimal
Aug,Hydroponic,Celery,NFT,28.6,71.7,31.6,1.11,6.7,1.4,2.9,12.9,0,Root Rot Risk
Jun,Hydroponic,Cucumber,NFT,42.3,21.7,37.3,6.53,7.4,2.2,2.0,23.5,0,Root Rot Risk
May,Microgreen,Basil (MG),Tray,45.2,22.7,40.2,7.47,7.4,0.6,2.0,23.9,0,Root Rot Risk
Aug,Microgreen,Sunflower,Tray,34.0,93.6,29.0,0.34,6.8,2.2,3.8,12.6,0,Root Rot Risk
Sep,Microgreen,Arugula,Tray,32.2,71.6,27.2,1.36,5.5,2.4,4.5,11.6,0,Root Rot Risk
Sep,Microgreen,Basil (MG),Tray,30.8,85.9,25.8,0.63,5.9,1.5,5.0,11.0,0,Mold/Fungal Risk
Jul,Hydroponic,Kale,DWC,34.2,80.4,29.2,1.05,6.9,0.5,3.8,10.3,0,Root Rot Risk
Oct,Microgreen,Arugula,Tray,25.4,41.9,28.4,1.89,7.0,0.5,4.1,19.8,0,Root Rot Risk
Aug,Microgreen,Radish,Tray,32.4,92.9,27.4,0.35,7.5,0.8,4.4,12.8,0,Root Rot Risk
Jan,Hydroponic,Bell Pepper,DWC,11.8,45.0,14.8,0.76,7.1,1.0,8.8,8.4,0,Nutrient Lockout
Jun,Hydroponic,Lettuce,NFT,39.6,23.8,34.6,5.49,7.5,1.0,2.0,21.3,0,Root Rot Risk
Nov,Hydroponic,Mint,DWC,8.9,45.3,11.9,0.62,6.8,1.8,9.8,8.7,1,Optimal
Feb,Hydroponic,Celery,DWC,29.8,45.4,32.8,2.3,6.0,0.9,2.5,14.8,0,Root Rot Risk
Mar,Hydroponic,Celery,DWC,23.8,35.3,26.8,1.91,6.0,0.9,4.6,19.6,0,Root Rot Risk
Mar,Hydroponic,Strawberry,DWC,22.4,40.9,25.4,1.6,5.2,1.1,5.1,18.0,0,Nutrient Lockout
Jun,Microgreen,Kohlrabi,Tray,46.5,17.0,41.5,8.6,6.1,1.5,2.0,21.4,0,Root Rot Risk
Aug,Hydroponic,Bell Pepper,DWC,31.7,87.7,26.7,0.58,6.2,2.4,4.6,9.3,0,Root Rot Risk
May,Hydroponic,Cherry Tomato,DWC,43.6,18.4,38.6,7.27,6.5,1.9,2.0,18.1,0,Root Rot Risk
Oct,Hydroponic,Strawberry,DWC,24.2,35.4,27.2,1.96,5.6,1.1,4.5,16.5,0,Root Rot Risk
Jul,Microgreen,Pea Shoots,Tray,29.6,71.4,32.6,1.19,5.8,1.4,2.6,12.0,0,Root Rot Risk
Oct,Hydroponic,Cherry Tomato,NFT,29.5,48.9,32.5,2.11,7.2,1.0,2.6,19.7,0,Root Rot Risk
Apr,Microgreen,Cilantro,Tray,36.8,29.3,31.8,4.39,7.5,1.0,2.9,23.4,0,Root Rot Risk
Jul,Microgreen,Broccoli,Tray,29.5,83.7,32.5,0.67,7.7,0.5,2.6,13.4,0,Root Rot Risk
Apr,Hydroponic,Lettuce,NFT,45.8,26.8,40.8,7.3,5.4,1.9,2.0,23.0,0,Root Rot Risk
Nov,Microgreen,Arugula,Tray,13.3,53.2,16.3,0.72,6.0,2.1,8.3,7.8,1,Optimal
Jul,Hydroponic,Pak Choi,DWC,31.2,74.8,26.2,1.15,5.9,1.6,4.8,12.1,0,Root Rot Risk
Nov,Hydroponic,Cherry Tomato,DWC,8.5,53.5,11.5,0.52,6.6,2.3,10.0,11.8,1,Optimal
Jan,Microgreen,Beetroot,Tray,17.0,40.8,20.0,1.15,7.0,2.2,7.0,9.3,1,Optimal
Jan,Hydroponic,Celery,NFT,12.0,51.4,15.0,0.68,7.1,1.1,8.8,11.2,0,Nutrient Lockout
Feb,Hydroponic,Spinach,NFT,23.3,36.8,26.3,1.8,5.7,2.5,4.8,17.4,0,Root Rot Risk
Aug,Hydroponic,Lettuce,DWC,34.1,73.8,29.1,1.4,6.7,2.5,3.8,13.6,0,Root Rot Risk
Feb,Hydroponic,Cucumber,NFT,24.2,44.0,27.2,1.69,5.4,2.2,4.5,16.5,0,Root Rot Risk
Jun,Microgreen,Cilantro,Tray,42.1,28.0,37.1,5.94,6.9,1.5,2.0,24.1,0,Root Rot Risk
Aug,Hydroponic,Strawberry,NFT,33.0,92.1,28.0,0.4,7.5,0.6,4.2,9.2,0,Root Rot Risk
Aug,Microgreen,Amaranth,Tray,30.4,75.3,25.4,1.07,7.5,2.0,5.1,11.5,0,Nutrient Lockout
Feb,Hydroponic,Pak Choi,NFT,22.5,38.5,25.5,1.68,7.3,1.3,5.1,16.6,0,Nutrient Lockout
Nov,Hydroponic,Celery,DWC,13.3,52.7,16.3,0.72,5.2,1.0,8.3,7.6,0,Nutrient Lockout
Nov,Hydroponic,Cherry Tomato,DWC,14.6,41.1,17.6,0.98,5.5,1.5,7.8,7.9,1,Optimal
Jul,Microgreen,Kohlrabi,Tray,32.3,78.7,27.3,1.03,5.9,1.0,4.4,9.6,0,Root Rot Risk
Jun,Microgreen,Basil (MG),Tray,43.2,21.7,38.2,6.82,6.5,1.1,2.0,24.8,0,Root Rot Risk
Feb,Microgreen,Pea Shoots,Tray,27.9,34.1,30.9,2.47,6.5,1.6,3.2,17.4,0,Root Rot Risk
Oct,Microgreen,Arugula,Tray,24.2,34.4,27.2,1.98,7.4,1.9,4.5,15.9,0,Root Rot Risk
May,Hydroponic,Cherry Tomato,NFT,38.2,21.8,33.2,5.23,7.7,1.8,2.4,20.9,0,Root Rot Risk
Sep,Hydroponic,Celery,NFT,28.4,86.3,31.4,0.53,7.0,1.2,3.0,12.3,0,Root Rot Risk
Oct,Hydroponic,Lettuce,NFT,23.7,47.1,26.7,1.55,6.0,1.1,4.7,15.1,0,Root Rot Risk
Dec,Hydroponic,Spinach,NFT,8.0,45.2,11.0,0.59,7.3,1.9,10.1,6.5,0,Nutrient Lockout
Dec,Microgreen,Kohlrabi,Tray,9.2,57.1,12.2,0.5,7.6,1.7,9.7,11.3,0,Nutrient Lockout
Apr,Hydroponic,Cherry Tomato,DWC,41.2,17.9,36.2,6.47,7.2,0.6,2.0,21.0,0,Root Rot Risk
Nov,Microgreen,Cilantro,Tray,9.0,48.3,12.0,0.59,7.8,1.5,9.8,10.9,0,Nutrient Lockout
Jul,Microgreen,Mustard,Tray,33.8,87.9,28.8,0.63,7.7,1.4,3.9,8.5,0,Root Rot Risk
Feb,Microgreen,Amaranth,Tray,24.0,33.2,27.0,1.99,7.6,0.7,4.6,19.7,0,Root Rot Risk
Oct,Microgreen,Beetroot,Tray,26.3,39.3,29.3,2.07,6.9,1.0,3.8,18.3,0,Root Rot Risk
Oct,Hydroponic,Basil (Hydro),DWC,30.9,47.3,25.9,2.36,5.8,0.8,4.9,19.2,1,Optimal
Dec,Microgreen,Sunflower,Tray,12.9,59.5,15.9,0.6,6.2,0.5,8.5,10.6,1,Optimal
Jul,Hydroponic,Celery,DWC,30.5,71.6,25.5,1.24,6.4,0.9,5.1,15.0,1,Optimal
Nov,Microgreen,Mustard,Tray,10.8,48.7,13.8,0.67,7.6,1.8,9.2,7.9,0,Nutrient Lockout
Dec,Hydroponic,Pak Choi,NFT,17.0,46.9,20.0,1.03,7.0,1.7,7.0,10.8,1,Optimal
Oct,Hydroponic,Cucumber,DWC,31.8,33.9,26.8,3.1,5.5,0.7,4.6,16.6,0,Root Rot Risk
May,Microgreen,Amaranth,Tray,37.4,17.6,32.4,5.27,7.7,1.3,2.7,21.7,0,Root Rot Risk
Nov,Microgreen,Pea Shoots,Tray,8.2,46.8,11.2,0.58,7.5,1.1,10.1,9.5,0,Nutrient Lockout
Dec,Hydroponic,Spinach,NFT,18.7,54.4,21.7,0.98,5.8,1.6,6.4,8.5,1,Optimal
Jul,Hydroponic,Kale,DWC,29.7,73.8,32.7,1.09,6.3,2.2,2.6,9.9,0,Root Rot Risk
Feb,Microgreen,Mustard,Tray,23.6,36.6,26.6,1.85,5.7,0.5,4.7,19.5,0,Root Rot Risk
Oct,Hydroponic,Cherry Tomato,DWC,28.9,40.2,31.9,2.39,7.2,0.5,2.8,17.3,0,Root Rot Risk
Jan,Hydroponic,Mint,DWC,9.1,46.2,12.1,0.62,7.2,0.7,9.8,10.6,0,Nutrient Lockout
Apr,Hydroponic,Basil (Hydro),NFT,43.3,26.7,38.3,6.44,6.3,1.2,2.0,24.1,0,Root Rot Risk
Dec,Hydroponic,Pak Choi,DWC,10.1,56.3,13.1,0.54,6.7,2.4,9.4,5.9,1,Optimal
Mar,Hydroponic,Cherry Tomato,DWC,30.1,35.2,25.1,2.77,7.2,1.9,5.2,16.1,0,VPD Stress
Aug,Hydroponic,Basil (Hydro),NFT,32.0,88.6,27.0,0.54,7.5,0.6,4.5,8.3,0,Root Rot Risk
Oct,Microgreen,Basil (MG),Tray,31.5,41.3,26.5,2.72,7.2,0.6,4.7,15.4,0,Root Rot Risk
Feb,Microgreen,Radish,Tray,28.0,45.8,31.0,2.05,6.0,0.7,3.1,17.7,0,Root Rot Risk
Feb,Microgreen,Amaranth,Tray,25.5,43.2,28.5,1.86,6.1,1.2,4.0,18.5,0,Root Rot Risk
Jul,Hydroponic,Mint,DWC,33.9,85.4,28.9,0.77,6.5,2.3,3.9,8.2,0,Root Rot Risk
Dec,Hydroponic,Lettuce,NFT,17.5,55.8,20.5,0.88,5.8,1.7,6.8,9.9,1,Optimal
Feb,Hydroponic,Kale,DWC,24.5,43.7,27.5,1.73,7.5,1.9,4.4,14.1,0,Root Rot Risk
Jan,Microgreen,Amaranth,Tray,17.9,51.4,20.9,1.0,7.0,2.1,6.7,10.0,1,Optimal
Nov,Microgreen,Cilantro,Tray,15.4,44.7,18.4,0.97,6.8,0.5,7.6,6.6,1,Optimal
Jul,Microgreen,Kohlrabi,Tray,34.5,88.7,29.5,0.62,6.4,1.8,3.7,9.9,0,Root Rot Risk
Feb,Microgreen,Amaranth,Tray,29.6,45.6,32.6,2.26,7.0,1.5,2.6,14.9,0,Root Rot Risk
Apr,Hydroponic,Spinach,DWC,36.2,16.8,31.2,5.0,5.7,1.6,3.1,22.3,0,Root Rot Risk
Nov,Hydroponic,Cherry Tomato,NFT,10.1,41.2,13.1,0.73,5.7,1.0,9.4,7.3,1,Optimal
Jan,Hydroponic,Basil (Hydro),NFT,19.8,44.3,22.8,1.29,6.3,1.2,6.0,5.6,1,Optimal
Aug,Microgreen,Amaranth,Tray,30.5,94.1,25.5,0.26,5.8,0.7,5.1,9.0,0,Mold/Fungal Risk
Mar,Microgreen,Amaranth,Tray,24.2,47.8,27.2,1.58,7.5,1.4,4.5,16.4,0,Root Rot Risk
Nov,Microgreen,Pea Shoots,Tray,10.6,56.2,13.6,0.56,7.1,1.6,9.3,11.6,0,Nutrient Lockout
Jan,Microgreen,Cilantro,Tray,17.6,40.8,20.6,1.19,6.1,2.3,6.8,6.7,1,Optimal
Sep,Hydroponic,Basil (Hydro),DWC,33.5,87.7,28.5,0.63,6.9,0.6,4.0,9.9,0,Root Rot Risk
Aug,Hydroponic,Lettuce,DWC,34.0,74.2,29.0,1.37,5.5,1.8,3.9,13.2,0,Root Rot Risk
Oct,Microgreen,Cilantro,Tray,29.5,39.8,32.5,2.48,6.1,1.5,2.6,16.8,0,Root Rot Risk
Jan,Hydroponic,Basil (Hydro),DWC,17.4,40.5,20.4,1.18,6.4,2.0,6.9,11.8,1,Optimal
May,Hydroponic,Bell Pepper,DWC,47.2,26.2,42.2,7.93,5.4,1.3,2.0,19.3,0,Root Rot Risk
Oct,Microgreen,Radish,Tray,27.2,34.8,30.2,2.35,6.5,0.6,3.4,18.0,0,Root Rot Risk
Sep,Microgreen,Broccoli,Tray,29.8,87.6,32.8,0.52,5.3,1.4,2.5,13.9,0,Root Rot Risk
Aug,Microgreen,Mustard,Tray,28.5,72.8,31.5,1.06,5.5,1.3,3.0,11.8,0,Root Rot Risk
Apr,Hydroponic,Cucumber,DWC,41.2,18.3,36.2,6.41,6.4,2.1,2.0,24.1,0,Root Rot Risk
Nov,Microgreen,Cilantro,Tray,10.4,40.5,13.4,0.75,5.6,0.8,9.3,6.8,1,Optimal
Nov,Hydroponic,Kale,DWC,9.8,42.8,12.8,0.69,5.7,0.8,9.5,10.6,1,Optimal
Feb,Hydroponic,Bell Pepper,NFT,24.3,30.4,27.3,2.11,6.8,2.3,4.4,16.0,0,Root Rot Risk
Apr,Microgreen,Broccoli,Tray,40.2,29.9,35.2,5.22,6.7,1.4,2.0,21.8,0,Root Rot Risk
Feb,Microgreen,Mustard,Tray,31.7,45.6,26.7,2.54,6.9,0.6,4.7,19.3,0,Root Rot Risk
Jul,Hydroponic,Kale,NFT,32.2,81.4,27.2,0.9,7.6,0.6,4.5,13.3,0,Root Rot Risk
Jul,Microgreen,Beetroot,Tray,28.7,82.1,31.7,0.7,5.8,2.2,2.9,12.1,0,Root Rot Risk
Aug,Hydroponic,Celery,DWC,32.6,80.8,27.6,0.95,6.2,0.8,4.3,9.9,0,Root Rot Risk
Jun,Hydroponic,Cucumber,DWC,39.1,27.9,34.1,5.08,5.5,2.3,2.1,20.2,0,Root Rot Risk
Apr,Microgreen,Beetroot,Tray,40.4,25.6,35.4,5.62,7.5,1.7,2.0,18.1,0,Root Rot Risk
Nov,Microgreen,Broccoli,Tray,12.5,46.1,15.5,0.78,6.6,1.6,8.6,10.1,1,Optimal
Aug,Hydroponic,Kale,DWC,31.3,91.7,26.3,0.38,7.0,0.8,4.8,12.1,0,Root Rot Risk
Nov,Microgreen,Cilantro,Tray,8.7,41.7,11.7,0.65,7.2,1.4,9.9,8.6,0,Nutrient Lockout
Jan,Microgreen,Cilantro,Tray,9.0,51.2,12.0,0.56,7.0,2.1,9.8,11.6,1,Optimal
Sep,Hydroponic,Bell Pepper,DWC,34.9,86.5,29.9,0.75,6.4,0.7,3.5,9.9,0,Root Rot Risk
Aug,Hydroponic,Kale,NFT,29.1,79.4,32.1,0.83,7.0,0.7,2.8,9.1,0,Root Rot Risk
Nov,Hydroponic,Kale,DWC,19.3,51.1,22.3,1.1,7.2,0.5,6.2,7.3,0,Nutrient Lockout
Sep,Hydroponic,Pak Choi,DWC,29.8,89.1,32.8,0.46,5.5,1.2,2.5,14.0,0,Root Rot Risk
Oct,Microgreen,Arugula,Tray,29.3,34.0,32.3,2.69,7.8,1.4,2.7,17.8,0,Root Rot Risk
Jun,Microgreen,Cilantro,Tray,43.1,16.9,38.1,7.23,7.2,1.9,2.0,19.8,0,Root Rot Risk
Jun,Hydroponic,Basil (Hydro),DWC,37.3,21.0,32.3,5.03,5.4,1.8,2.7,20.5,0,Root Rot Risk
May,Microgreen,Beetroot,Tray,39.0,16.4,34.0,5.86,6.4,0.7,2.1,19.7,0,Root Rot Risk
Dec,Hydroponic,Celery,DWC,18.8,59.0,21.8,0.89,7.5,2.0,6.4,6.0,0,Nutrient Lockout
Jul,Microgreen,Pea Shoots,Tray,30.8,77.0,25.8,1.02,6.0,2.0,5.0,13.6,1,Optimal
Feb,Microgreen,Pea Shoots,Tray,29.4,39.3,32.4,2.49,7.0,2.3,2.7,17.1,0,Root Rot Risk
Oct,Hydroponic,Cucumber,NFT,23.8,36.2,26.8,1.88,7.1,2.0,4.6,18.4,0,Root Rot Risk
Apr,Hydroponic,Cherry Tomato,NFT,39.6,27.9,34.6,5.2,5.4,1.7,2.0,22.6,0,Root Rot Risk
Mar,Hydroponic,Strawberry,DWC,23.9,47.0,26.9,1.57,5.9,1.4,4.6,18.5,0,Root Rot Risk
Feb,Hydroponic,Kale,NFT,28.6,48.1,31.6,2.04,7.1,2.1,2.9,17.1,0,Root Rot Risk
